iso;country;language;level;type;name;region1;region2;region3;region4;iso2;fips;nuts;hasc;stat
NG;Nigeria;EN;3;Areas;Toto;Nasarawa;Toto;Toto;-;NG-NA;NI56;;NG.NA.TO;26012
NG;Nigeria;EN;3;Areas;Toumo;Delta;Burutu;Toumo;-;NG-DE;NI36;;NG.DE.BU;10004
NG;Nigeria;EN;3;Areas;Trade fair complex;Lagos;Amuwo-Odofin;Trade fair complex;-;NG-LA;NI05;;NG.LA.AO;25004
NG;Nigeria;EN;3;Areas;Tsambe;Benue;Vandeikya;Tsambe;-;NG-BE;NI26;;NG.BE.VA;07023
NG;Nigeria;EN;3;Areas;Tsanyawa;Kano;Tsanyawa;Tsanyawa;-;NG-KN;NI29;;NG.KN.TS;20008
NG;Nigeria;EN;3;Areas;Tsaragi;Kwara;Edu;Tsaragi;-;NG-KW;NI30;;NG.KW.ED;24003
NG;Nigeria;EN;3;Areas;Tsonjei;Kaduna;Kaura;Tsonjei;-;NG-KD;NI23;;NG.KD.KA;19013
NG;Nigeria;EN;3;Areas;Tsoriyang;Kaduna;Zangon Kataf;Tsoriyang;-;NG-KD;NI23;;NG.KD.ZK;19022
NG;Nigeria;EN;3;Areas;Tudun Wada;Kano;Tudun Wada;Tudun Wada;-;NG-KN;NI29;;NG.KN.TW;20029
NG;Nigeria;EN;3;Areas;Tudun Wada;Kaduna;Zangon Kataf;Tudun Wada;-;NG-KD;NI23;;NG.KD.ZK;19022
NG;Nigeria;EN;3;Areas;Tunga;Nasarawa;Awe;Tunga;-;NG-NA;NI56;;NG.NA.AW;26002
NG;Nigeria;EN;3;Areas;Tungo;Gombe;Kaltungo;Tungo;-;NG-GO;NI55;;NG.GO.KA;16007
NG;Nigeria;EN;3;Areas;Tungo;Adamawa;Toungo;Tungo;-;NG-AD;NI35;;NG.AD.TE;02019
NG;Nigeria;EN;3;Areas;Turaki;Plateau;Langtang South;Turaki;-;NG-PL;NI49;;NG.PL.LS;32010
NG;Nigeria;EN;3;Areas;Turan;Benue;Kwande;Turan;-;NG-BE;NI26;;NG.BE.KW;07011
NG;Nigeria;EN;3;Areas;Ture;Gombe;Kaltungo;Ture;-;NG-GO;NI55;;NG.GO.KA;16007
NG;Nigeria;EN;3;Areas;Tureta;Sokoto;Tureta;Tureta;-;NG-SO;NI51;;NG.SO.TT;620
NG;Nigeria;EN;3;Areas;Uba;Adamawa;Hong;Uba;-;NG-AD;NI35;;NG.AD.HO;02007
NG;Nigeria;EN;3;Areas;Uba-Kala;Abia;Ikwuano;Uba-Kala;-;NG-AB;NI45;;NG.AB.IK;01005
NG;Nigeria;EN;3;Areas;Ubang-Hara;Cross River;Akamkpa;Ubang-Hara;-;NG-CR;NI22;;NG.CR.AM;09002
NG;Nigeria;EN;3;Areas;Ubiaja;Edo;Esan South-East;Ubiaja;-;NG-ED;NI37;;NG.ED.ES;12005
NG;Nigeria;EN;3;Areas;Ubiohia;Imo;Ideato South;Ubiohia;-;NG-IM;NI28;;NG.IM.ID;17006
NG;Nigeria;EN;3;Areas;Ubium North;Akwa Ibom;Nsit-Ibom;Ubium North;-;NG-AK;NI21;;NG.AK.NI;03020
NG;Nigeria;EN;3;Areas;Ubium south;Akwa Ibom;Nsit-Ibom;Ubium south;-;NG-AK;NI21;;NG.AK.NI;03020
NG;Nigeria;EN;3;Areas;Ubodong;Akwa Ibom;Urue-Offong/Oruko;Ubodong;-;NG-AK;NI21;;NG.AK.UO;03030
NG;Nigeria;EN;3;Areas;Ubodung;Akwa Ibom;Udung-Uko;Ubodung;-;NG-AK;NI21;;NG.AK.UU;03027
NG;Nigeria;EN;3;Areas;Ubodung Clan;Akwa Ibom;Udung-Uko;Ubodung Clan;-;NG-AK;NI21;;NG.AK.UU;03027
NG;Nigeria;EN;3;Areas;Ubomiri;Imo;Mbaitoli;Ubomiri;-;NG-IM;NI28;;NG.IM.MB;17011
NG;Nigeria;EN;3;Areas;Ubulu;Delta;Oshimili North;Ubulu;-;NG-DE;NI36;;NG.DE.ON;10014
NG;Nigeria;EN;3;Areas;Ubulu;Delta;Aniocha South;Ubulu;-;NG-DE;NI36;;NG.DE.AS;10002
NG;Nigeria;EN;3;Areas;Ubulu;Imo;Oru West;Ubulu;-;NG-IM;NI28;;NG.IM.OU;17023
NG;Nigeria;EN;3;Areas;Ubulusiozor;Anambra;Ihiala;Ubulusiozor;-;NG-AN;NI25;;NG.AN.IH;04012
